GeoID,GeogName,Borough,poverty_rate_pct,median_income_estimate,unemployment_rate_pct,pop_15_to_19_pct,rent_burdened_35plus_pct,bachelors_deg_or_higher_pct,limited_english_proficiency_pct
BK09,Brooklyn Heights-Cobble Hill,Brooklyn,10.3,116189.0,3.8,4.4,27.2,78.1,4.2
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,16.0,54371.0,9.8,4.9,46.0,40.5,33.0
BK19,Brighton Beach,Brooklyn,26.9,35699.0,7.8,4.4,52.9,41.0,56.8
BK21,Seagate-Coney Island,Brooklyn,32.1,26033.0,17.5,6.6,34.9,23.2,29.5
BK23,West Brighton,Brooklyn,15.7,40910.0,8.9,2.5,51.2,50.9,44.7
BK25,Homecrest,Brooklyn,19.2,52093.0,8.2,6.0,47.7,37.8,32.2
BK26,Gravesend,Brooklyn,21.5,38573.0,10.8,6.1,45.7,30.9,40.7
BK27,Bath Beach,Brooklyn,14.3,58243.0,7.1,5.0,43.3,33.6,42.1
BK28,Bensonhurst West,Brooklyn,18.3,51035.0,8.8,5.1,46.6,26.2,48.3
BK29,Bensonhurst East,Brooklyn,19.3,48097.0,8.5,5.4,48.9,30.2,48.7
BK30,Dyker Heights,Brooklyn,17.6,56310.0,8.4,5.8,51.2,26.8,38.6
BK31,Bay Ridge,Brooklyn,15.5,63539.0,7.5,4.5,40.8,46.4,21.5
BK32,Sunset Park West,Brooklyn,29.7,47397.0,8.8,5.2,52.0,23.7,45.5
BK33,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,13.7,91757.0,8.2,3.8,29.0,62.5,9.3
BK34,Sunset Park East,Brooklyn,35.6,39200.0,8.1,5.5,57.9,15.0,62.0
BK35,Stuyvesant Heights,Brooklyn,28.7,41269.0,13.2,6.3,46.3,27.0,8.3
BK37,Park Slope-Gowanus,Brooklyn,7.3,113781.0,4.7,2.9,29.5,75.7,6.2
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,20.6,94542.0,8.8,3.5,28.4,59.9,11.1
BK40,Windsor Terrace,Brooklyn,8.5,91219.0,4.2,2.9,32.6,64.7,12.8
BK41,Kensington-Ocean Parkway,Brooklyn,24.9,54163.0,6.5,6.3,50.3,40.2,32.8
BK42,Flatbush,Brooklyn,19.7,48896.0,8.5,5.8,48.9,33.5,26.5
BK43,Midwood,Brooklyn,23.7,46598.0,9.2,6.6,53.1,42.5,29.5
BK44,Madison,Brooklyn,14.4,58966.0,5.8,5.4,48.3,41.0,34.4
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,6.6,80660.0,7.1,5.8,49.8,37.7,14.1
