LOCATION_CODE,size,budget,LOCATION_NAME,lon,lat,LOCATION_TYPE_DESCRIPTION,NTA_NAME,grad_rate,adv_regents_rate
K036,,,P.S. 36,-73.8871957335021,40.66046568725015,Special Education,East New York,,
K053,,,P.S. K053,-73.98874366793626,40.660805905065324,Special Education,Sunset Park West,,
K077,,,P.S. K077,-73.976648432263,40.678809820488965,Special Education,Park Slope-Gowanus,,
K141,,,P.S. K141,-73.95157536009955,40.6564238274755,Special Education,Prospect Lefferts Gardens-Wingate,,
K356,,,Achievement First Crown Heights Charter School,-73.9363138057756,40.662092596299686,General Academic,Prospect Lefferts Gardens-Wingate,88.0,0.0
K357,,,KIPP AMP Charter School,-73.9376018520105,40.67229015293464,General Academic,Crown Heights North,91.3,30.4
K358,,,Achievement First East New York Charter School,-73.89332812698039,40.66406720078261,General Academic,East New York (Pennsylvania Ave),,
K359,,,The Uft Charter School,-73.89331968161828,40.671601612007464,General Academic,East New York (Pennsylvania Ave),77.8,11.1
K368,,,P.S. 368,-73.94755756841683,40.696698891018094,Special Education,Bedford,,
K369,,,P.S. K369  - Coy L. Cox School,-73.98331248578076,40.68743230945372,Special Education,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,
K370,,,P.S. 370,-73.96987286520994,40.57770942335385,Special Education,West Brighton,,
K371,,,P.S. 371 - Lillian L. Rashkis,-74.00516811003631,40.65430669943561,Special Education,Sunset Park West,,
K373,,,P.S. 373 - Brooklyn Transition Center,-73.94521142276815,40.69921474993596,Special Education,Bedford,,
K395,,,Roads Charter School I,-73.90414394406683,40.677528878278245,Transfer School,Ocean Hill,3.8,0.0
K396,,,P.S. K396,-73.91178853039338,40.66823294399037,Special Education,Brownsville,,
K417,,,Urban Dove Charter School,-73.95071471823624,40.68957486556752,Transfer School,Bedford,10.5,0.0
K473,,,Williamsburg Charter High School,-73.93596749637241,40.70369492691728,General Academic,Bushwick South,74.7,7.5
K486,,,New Dawn Charter High School,-73.99029031498243,40.682901492073306,Transfer School,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16.8,0.0
K489,,1024966.0,W.E.B. Dubois Academic High School,-73.9551886523501,40.669561804901484,Transfer School,Crown Heights South,8.0,0.0
K495,,3990611.0,Sheepshead Bay High School,-73.9366352006193,40.59315736834059,General Academic,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,50.4,3.7
K508,,,Achievement First Endeavor Charter School,-73.96592801121585,40.682422011661295,General Academic,Clinton Hill,72.4,0.0
K529,,1593742.0,West Brooklyn Community High School,-73.99215190231835,40.6426192601858,Transfer School,Sunset Park East,13.6,0.0
K538,,,Achievement First Bushwick Charter School,-73.91908818182594,40.697898329985534,General Academic,Bushwick North,96.2,0.0
K544,,386817.0,International Arts Business School,-73.94383907633218,40.658671030784284,General Academic,Prospect Lefferts Gardens-Wingate,70.6,0.0
K553,,1437425.0,Brooklyn Academy High School,-73.94787351818734,40.684654983551205,Transfer School,Bedford,25.7,1.4
K564,,2228434.0,Bushwick Community High School,-73.91521754525205,40.69587539404184,Transfer School,Bushwick North,9.2,0.0
K568,,1582681.0,Brownsville Academy High School,-73.92388107591536,40.666251616341164,Transfer School,Brownsville,26.3,0.0
K575,,1166422.0,Bedford Stuyvesant Preparatory High School,-73.94787351818734,40.684654983551205,Transfer School,Bedford,18.3,0.0
K578,,1457947.0,Brooklyn Bridge Academy,-73.91692770115233,40.6344512276233,Transfer School,Canarsie,14.3,0.0
K592,97.0,1242975.0,Khalil Gibran International Academy,-73.97982969841556,40.686147198880136,General Academic,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,
K593,,,Excellence Boys Charter School,-73.92585171673447,40.683446179589716,General Academic,Stuyvesant Heights,,
K611,85.0,1278198.0,Origins High School,-73.9366352006193,40.59315736834059,General Academic,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,,
K616,,1666059.0,Brooklyn High School for Leadership and Community,-73.95818098309017,40.69201517658531,Transfer School,Clinton Hill,4.2,0.0
K630,,1431145.0,Professional Pathways High School,-73.9366352006193,40.59315736834059,Transfer School,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20.4,0.0
K635,,1402913.0,Olympus Academy,-73.8864997412078,40.652203205147934,Transfer School,Starrett City,11.9,0.0
K643,,1578527.0,Brooklyn Democracy Academy,-73.90666218819632,40.65564407960312,Transfer School,Brownsville,13.8,0.0
K646,,1832583.0,Aspirations Diploma Plus High School,-73.90414394406683,40.677528878278245,Transfer School,Ocean Hill,14.6,0.0
K647,,1349787.0,Metropolitan Diploma Plus High School,-73.90666218819632,40.65564407960312,Transfer School,Brownsville,20.8,0.0
K652,,,Brooklyn Ascend Charter School,-73.92044018710038,40.66194547375231,General Academic,Brownsville,,
K669,,1671527.0,Research and Service High School,-73.93160407079579,40.67847895733553,Transfer School,Crown Heights North,18.5,0.0
K673,,1415442.0,East Brooklyn Community High School,-73.92065886654896,40.65991448716652,Transfer School,Rugby-Remsen Village,20.8,0.0
K693,,,Northside Charter High School,-73.94793259700836,40.71981820725507,General Academic,Greenpoint,75.3,2.2
K698,,1213898.0,South Brooklyn Community High School,-74.01424794891875,40.677776528205634,Transfer School,Carroll Gardens-Columbia Street-Red Hook,3.4,0.0
K712,,,Excellence Girls Charter School,-73.92442224638827,40.6881003833579,General Academic,Stuyvesant Heights,,
K721,,,P.S. K721 - Brooklyn Occupational Training Center,-73.98192595527715,40.58807083424705,Special Education,Gravesend,,
K728,,1300875.0,Liberation Diploma Plus,-73.9854135727824,40.576976840315034,Transfer School,Seagate-Coney Island,12.2,0.0
K733,,,"Math, Engineering, and Science Academy Charter Hig",-73.91521754525205,40.69587539404184,General Academic,Bushwick North,,
K737,,,Brownsville Ascend Charter School,-73.91812160115478,40.66859993644669,General Academic,Brownsville,,
K738,,,New Visions Charter High School for Advanced Math,-73.9366352006193,40.59315736834059,General Academic,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,,
K739,,,New Visions Charter High School for the Humanities,-73.9366352006193,40.59315736834059,General Academic,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,,
K745,170.0,1724873.0,Brooklyn Institute for Liberal Arts,-73.94383907633218,40.658671030784284,General Academic,Prospect Lefferts Gardens-Wingate,,
K753,,,P.S. K753 - School for Career Development,-73.969248606891,40.68257665425976,Special Education,Fort Greene,,
K764,,758973.0,The Urban Assembly School for Collaborative Health,-73.86930502891809,40.693002554917015,General Academic,park-cemetery-etc-Brooklyn,,
K765,,865347.0,Nelson Mandela High School,-73.93160407079579,40.67847895733553,General Academic,Crown Heights North,,
K769,,,Hyde Leadership Charter School- Brooklyn,-73.8982495172861,40.66798571491574,General Academic,East New York (Pennsylvania Ave),,
K771,,,P.S. K771,-73.95585696683547,40.58026030466613,Special Education,Brighton Beach,,
K772,,,Success Academy Charter School - Bensonhurst - New,-73.98498539063023,40.60813574747413,General Academic,Bensonhurst East,,
