LOCATION_CODE,size,budget,LOCATION_NAME,lon,lat,LOCATION_TYPE_DESCRIPTION,NTA_NAME,grad_rate,adv_regents_rate,funding_per_student,weighted_accessibility,weighted_accessibility_adv
K036,435.5,2517120.0,P.S. 36,-73.8871957335021,40.66046568725015,Special Education,East New York,66.30000000000001,2.1500000000000004,5779.839265212399,383203.34328358213,12426.654420206662
K053,435.5,2517120.0,P.S. K053,-73.98874366793626,40.660805905065324,Special Education,Sunset Park West,66.30000000000001,2.1500000000000004,5779.839265212399,383203.34328358213,12426.654420206662
K077,435.5,2517120.0,P.S. K077,-73.976648432263,40.678809820488965,Special Education,Park Slope-Gowanus,66.30000000000001,2.1500000000000004,5779.839265212399,383203.34328358213,12426.654420206662
K122,330.0,2926879.0,Pathways in Technology Early College High School (,-73.93928207408081,40.67590592171639,General Academic,Crown Heights North,57.7,5.2,8869.330303030303,511760.3584848485,46120.51757575758
K141,435.5,2517120.0,P.S. K141,-73.95157536009955,40.6564238274755,Special Education,Prospect Lefferts Gardens-Wingate,66.30000000000001,2.1500000000000004,5779.839265212399,383203.34328358213,12426.654420206662
K168,203.0,1760510.0,The Brooklyn School for Math and Research,-73.9117511871937,40.69645742411828,General Academic,Bushwick North,73.5,8.8,8672.463054187192,637426.0344827586,76317.67487684729
K322,110.0,824384.0,Foundations Academy,-73.94755756841683,40.696698891018094,General Academic,Bedford,33.3,0.0,7494.4,249563.51999999996,0.0
K337,345.0,2114329.0,International High School at Lafayette,-73.98631383578874,40.593028549309516,General Academic,Gravesend,74.7,0.0,6128.489855072464,457798.19217391306,0.0
K344,517.0,2742945.0,Rachel Carson High School for Coastal Studies,-73.9720091599395,40.58251885802912,General Academic,West Brighton,80.7,0.7,5305.502901353965,428154.084139265,3713.8520309477753
K348,323.0,1778260.0,High School of Sports Management,-73.98631383578874,40.593028549309516,General Academic,Gravesend,68.5,4.5,5505.448916408669,377123.25077399384,24774.52012383901
K350,394.0,2091190.0,Urban Assembly High School of Music and Art,-73.98452894036029,40.69733011652986,General Academic,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,53.1,0.0,5307.588832487309,281832.9670050761,0.0
K356,435.5,2517120.0,Achievement First Crown Heights Charter School,-73.9363138057756,40.662092596299686,General Academic,Prospect Lefferts Gardens-Wingate,88.0,0.0,5779.839265212399,508625.85533869115,0.0
