stop_id,stop_name,stop_lat,stop_lon,mode
sub_101,Van Cortlandt Park - 242 St,40.889248,-73.898583,bus
sub_101N,Van Cortlandt Park - 242 St,40.889248,-73.898583,bus
sub_101S,Van Cortlandt Park - 242 St,40.889248,-73.898583,bus
sub_103,238 St,40.884667,-73.90087,bus
sub_103N,238 St,40.884667,-73.90087,bus
sub_103S,238 St,40.884667,-73.90087,bus
sub_104,231 St,40.878856,-73.904834,bus
sub_104N,231 St,40.878856,-73.904834,bus
sub_104S,231 St,40.878856,-73.904834,bus
sub_106,Marble Hill - 225 St,40.874561,-73.909831,bus
sub_106N,Marble Hill - 225 St,40.874561,-73.909831,bus
sub_106S,Marble Hill - 225 St,40.874561,-73.909831,bus
sub_107,215 St,40.869444,-73.915279,bus
sub_107N,215 St,40.869444,-73.915279,bus
sub_107S,215 St,40.869444,-73.915279,bus
sub_108,207 St,40.864621,-73.918822,bus
sub_108N,207 St,40.864621,-73.918822,bus
sub_108S,207 St,40.864621,-73.918822,bus
sub_109,Dyckman St,40.860531,-73.925536,bus
sub_109N,Dyckman St,40.860531,-73.925536,bus
sub_109S,Dyckman St,40.860531,-73.925536,bus
sub_110,191 St,40.855225,-73.929412,bus
sub_110N,191 St,40.855225,-73.929412,bus
sub_110S,191 St,40.855225,-73.929412,bus
sub_111,181 St,40.849505,-73.933596,bus
sub_111N,181 St,40.849505,-73.933596,bus
sub_111S,181 St,40.849505,-73.933596,bus
sub_112,168 St - Washington Hts,40.840556,-73.940133,bus
sub_112N,168 St - Washington Hts,40.840556,-73.940133,bus
sub_112S,168 St - Washington Hts,40.840556,-73.940133,bus
sub_113,157 St,40.834041,-73.94489,bus
sub_113N,157 St,40.834041,-73.94489,bus
sub_113S,157 St,40.834041,-73.94489,bus
sub_114,145 St,40.826551,-73.95036,bus
sub_114N,145 St,40.826551,-73.95036,bus
sub_114S,145 St,40.826551,-73.95036,bus
sub_115,137 St - City College,40.822008,-73.953676,bus
sub_115N,137 St - City College,40.822008,-73.953676,bus
sub_115S,137 St - City College,40.822008,-73.953676,bus
sub_116,125 St,40.815581,-73.958372,bus
sub_116N,125 St,40.815581,-73.958372,bus
sub_116S,125 St,40.815581,-73.958372,bus
sub_117,116 St - Columbia University,40.807722,-73.96411,bus
sub_117N,116 St - Columbia University,40.807722,-73.96411,bus
sub_117S,116 St - Columbia University,40.807722,-73.96411,bus
sub_118,Cathedral Pkwy,40.803967,-73.966847,bus
sub_118N,Cathedral Pkwy,40.803967,-73.966847,bus
sub_118S,Cathedral Pkwy,40.803967,-73.966847,bus
sub_119,103 St,40.799446,-73.968379,bus
sub_119N,103 St,40.799446,-73.968379,bus
sub_119S,103 St,40.799446,-73.968379,bus
sub_120,96 St,40.793919,-73.972323,bus
sub_120N,96 St,40.793919,-73.972323,bus
sub_120S,96 St,40.793919,-73.972323,bus
sub_121,86 St,40.788644,-73.976218,bus
sub_121N,86 St,40.788644,-73.976218,bus
sub_121S,86 St,40.788644,-73.976218,bus
sub_122,79 St,40.783934,-73.979917,bus
sub_122N,79 St,40.783934,-73.979917,bus
sub_122S,79 St,40.783934,-73.979917,bus
sub_123,72 St,40.778453,-73.98197,bus
sub_123N,72 St,40.778453,-73.98197,bus
sub_123S,72 St,40.778453,-73.98197,bus
sub_124,66 St - Lincoln Center,40.77344,-73.982209,bus
sub_124N,66 St - Lincoln Center,40.77344,-73.982209,bus
sub_124S,66 St - Lincoln Center,40.77344,-73.982209,bus
sub_125,59 St - Columbus Circle,40.768247,-73.981929,bus
sub_125N,59 St - Columbus Circle,40.768247,-73.981929,bus
sub_125S,59 St - Columbus Circle,40.768247,-73.981929,bus
sub_126,50 St,40.761728,-73.983849,bus
sub_126N,50 St,40.761728,-73.983849,bus
sub_126S,50 St,40.761728,-73.983849,bus
sub_127,Times Sq - 42 St,40.75529,-73.987495,bus
sub_127N,Times Sq - 42 St,40.75529,-73.987495,bus
sub_127S,Times Sq - 42 St,40.75529,-73.987495,bus
sub_128,34 St - Penn Station,40.750373,-73.991057,bus
sub_128N,34 St - Penn Station,40.750373,-73.991057,bus
sub_128S,34 St - Penn Station,40.750373,-73.991057,bus
sub_129,28 St,40.747215,-73.993365,bus
sub_129N,28 St,40.747215,-73.993365,bus
sub_129S,28 St,40.747215,-73.993365,bus
sub_130,23 St,40.744081,-73.995657,bus
sub_130N,23 St,40.744081,-73.995657,bus
sub_130S,23 St,40.744081,-73.995657,bus
sub_131,18 St,40.74104,-73.997871,bus
sub_131N,18 St,40.74104,-73.997871,bus
sub_131S,18 St,40.74104,-73.997871,bus
sub_132,14 St,40.737826,-74.000201,bus
sub_132N,14 St,40.737826,-74.000201,bus
sub_132S,14 St,40.737826,-74.000201,bus
sub_133,Christopher St - Sheridan Sq,40.733422,-74.002906,bus
sub_133N,Christopher St - Sheridan Sq,40.733422,-74.002906,bus
sub_133S,Christopher St - Sheridan Sq,40.733422,-74.002906,bus
sub_134,Houston St,40.728251,-74.005367,bus
sub_134N,Houston St,40.728251,-74.005367,bus
sub_134S,Houston St,40.728251,-74.005367,bus
sub_135,Canal St,40.722854,-74.006277,bus
sub_135N,Canal St,40.722854,-74.006277,bus
sub_135S,Canal St,40.722854,-74.006277,bus
sub_136,Franklin St,40.719318,-74.006886,bus
sub_136N,Franklin St,40.719318,-74.006886,bus
sub_136S,Franklin St,40.719318,-74.006886,bus
sub_137,Chambers St,40.715478,-74.009266,bus
sub_137N,Chambers St,40.715478,-74.009266,bus
sub_137S,Chambers St,40.715478,-74.009266,bus
sub_138,Cortlandt St,40.711835,-74.012188,bus
sub_138N,Cortlandt St,40.711835,-74.012188,bus
sub_138S,Cortlandt St,40.711835,-74.012188,bus
sub_139,Rector St,40.707513,-74.013783,bus
sub_139N,Rector St,40.707513,-74.013783,bus
sub_139S,Rector St,40.707513,-74.013783,bus
sub_140,South Ferry Loop,40.701411,-74.013205,bus
sub_140N,South Ferry Loop,40.701411,-74.013205,bus
sub_140S,South Ferry Loop,40.701411,-74.013205,bus
sub_201,Wakefield - 241 St,40.903125,-73.85062,bus
sub_201N,Wakefield - 241 St,40.903125,-73.85062,bus
sub_201S,Wakefield - 241 St,40.903125,-73.85062,bus
sub_204,Nereid Av,40.898379,-73.854376,bus
sub_204N,Nereid Av,40.898379,-73.854376,bus
sub_204S,Nereid Av,40.898379,-73.854376,bus
sub_205,233 St,40.893193,-73.857473,bus
sub_205N,233 St,40.893193,-73.857473,bus
sub_205S,233 St,40.893193,-73.857473,bus
sub_206,225 St,40.888022,-73.860341,bus
sub_206N,225 St,40.888022,-73.860341,bus
sub_206S,225 St,40.888022,-73.860341,bus
sub_207,219 St,40.883895,-73.862633,bus
sub_207N,219 St,40.883895,-73.862633,bus
sub_207S,219 St,40.883895,-73.862633,bus
sub_208,Gun Hill Rd,40.87785,-73.866256,bus
sub_208N,Gun Hill Rd,40.87785,-73.866256,bus
sub_208S,Gun Hill Rd,40.87785,-73.866256,bus
sub_209,Burke Av,40.871356,-73.867164,bus
sub_209N,Burke Av,40.871356,-73.867164,bus
sub_209S,Burke Av,40.871356,-73.867164,bus
sub_210,Allerton Av,40.865462,-73.867352,bus
sub_210N,Allerton Av,40.865462,-73.867352,bus
sub_210S,Allerton Av,40.865462,-73.867352,bus
sub_211,Pelham Pkwy,40.857192,-73.867615,bus
sub_211N,Pelham Pkwy,40.857192,-73.867615,bus
sub_211S,Pelham Pkwy,40.857192,-73.867615,bus
sub_212,Bronx Park East,40.848828,-73.868457,bus
sub_212N,Bronx Park East,40.848828,-73.868457,bus
sub_212S,Bronx Park East,40.848828,-73.868457,bus
sub_213,E 180 St,40.841894,-73.873488,bus
sub_213N,E 180 St,40.841894,-73.873488,bus
sub_213S,E 180 St,40.841894,-73.873488,bus
sub_214,West Farms Sq - E Tremont Av,40.840295,-73.880049,bus
sub_214N,West Farms Sq - E Tremont Av,40.840295,-73.880049,bus
sub_214S,West Farms Sq - E Tremont Av,40.840295,-73.880049,bus
sub_215,174 St,40.837288,-73.887734,bus
sub_215N,174 St,40.837288,-73.887734,bus
sub_215S,174 St,40.837288,-73.887734,bus
sub_216,Freeman St,40.829993,-73.891865,bus
sub_216N,Freeman St,40.829993,-73.891865,bus
sub_216S,Freeman St,40.829993,-73.891865,bus
